GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Population 5 years and over
HC01_MOE_VC01,Total; Margin of Error; Population 5 years and over
HC03_EST_VC01,"Percent  of specified language speakers - Speak English ""very well""; Estimate; Population 5 years and over"
HC03_MOE_VC01,"Percent  of specified language speakers - Speak English ""very well""; Margin of Error; Population 5 years and over"
HC04_EST_VC01,"Percent  of specified language speakers - Speak English less than ""very well""; Estimate; Population 5 years and over"
HC04_MOE_VC01,"Percent  of specified language speakers - Speak English less than ""very well""; Margin of Error; Population 5 years and over"
HC01_EST_VC02,Total; Estimate; Population 5 years and over - Speak only English
HC01_MOE_VC02,Total; Margin of Error; Population 5 years and over - Speak only English
HC03_EST_VC02,"Percent  of specified language speakers - Speak English ""very well""; Estimate; Population 5 years and over - Speak only English"
HC03_MOE_VC02,"Percent  of specified language speakers - Speak English ""very well""; Margin of Error; Population 5 years and over - Speak only English"
HC04_EST_VC02,"Percent  of specified language speakers - Speak English less than ""very well""; Estimate; Population 5 years and over - Speak only English"
HC04_MOE_VC02,"Percent  of specified language speakers - Speak English less than ""very well""; Margin of Error; Population 5 years and over - Speak only English"
HC01_EST_VC03,Total; Estimate; Population 5 years and over - Speak a language other than English
HC01_MOE_VC03,Total; Margin of Error; Population 5 years and over - Speak a language other than English
HC03_EST_VC03,"Percent  of specified language speakers - Speak English ""very well""; Estimate; Population 5 years and over - Speak a language other than English"
HC03_MOE_VC03,"Percent  of specified language speakers - Speak English ""very well""; Margin of Error; Population 5 years and over - Speak a language other than English"
HC04_EST_VC03,"Percent  of specified language speakers - Speak English less than ""very well""; Estimate; Population 5 years and over - Speak a language other than English"
HC04_MOE_VC03,"Percent  of specified language speakers - Speak English less than ""very well""; Margin of Error; Population 5 years and over - Speak a language other than English"
HC01_EST_VC04,Total; Estimate; Population 5 years and over - Spanish or Spanish Creole
HC01_MOE_VC04,Total; Margin of Error; Population 5 years and over - Spanish or Spanish Creole
HC03_EST_VC04,"Percent  of specified language speakers - Speak English ""very well""; Estimate; Population 5 years and over - Spanish or Spanish Creole"
HC03_MOE_VC04,"Percent  of specified language speakers - Speak English ""very well""; Margin of Error; Population 5 years and over - Spanish or Spanish Creole"
HC04_EST_VC04,"Percent  of specified language speakers - Speak English less than ""very well""; Estimate; Population 5 years and over - Spanish or Spanish Creole"
HC04_MOE_VC04,"Percent  of specified language speakers - Speak English less than ""very well""; Margin of Error; Population 5 years and over - Spanish or Spanish Creole"
HC01_EST_VC05,Total; Estimate; Population 5 years and over - Other Indo-European languages
HC01_MOE_VC05,Total; Margin of Error; Population 5 years and over - Other Indo-European languages
HC03_EST_VC05,"Percent  of specified language speakers - Speak English ""very well""; Estimate; Population 5 years and over - Other Indo-European languages"
HC03_MOE_VC05,"Percent  of specified language speakers - Speak English ""very well""; Margin of Error; Population 5 years and over - Other Indo-European languages"
HC04_EST_VC05,"Percent  of specified language speakers - Speak English less than ""very well""; Estimate; Population 5 years and over - Other Indo-European languages"
HC04_MOE_VC05,"Percent  of specified language speakers - Speak English less than ""very well""; Margin of Error; Population 5 years and over - Other Indo-European languages"
HC01_EST_VC06,Total; Estimate; Population 5 years and over - Asian and Pacific Island languages
HC01_MOE_VC06,Total; Margin of Error; Population 5 years and over - Asian and Pacific Island languages
HC03_EST_VC06,"Percent  of specified language speakers - Speak English ""very well""; Estimate; Population 5 years and over - Asian and Pacific Island languages"
HC03_MOE_VC06,"Percent  of specified language speakers - Speak English ""very well""; Margin of Error; Population 5 years and over - Asian and Pacific Island languages"
HC04_EST_VC06,"Percent  of specified language speakers - Speak English less than ""very well""; Estimate; Population 5 years and over - Asian and Pacific Island languages"
HC04_MOE_VC06,"Percent  of specified language speakers - Speak English less than ""very well""; Margin of Error; Population 5 years and over - Asian and Pacific Island languages"
HC01_EST_VC07,Total; Estimate; Population 5 years and over - Other languages
HC01_MOE_VC07,Total; Margin of Error; Population 5 years and over - Other languages
HC03_EST_VC07,"Percent  of specified language speakers - Speak English ""very well""; Estimate; Population 5 years and over - Other languages"
HC03_MOE_VC07,"Percent  of specified language speakers - Speak English ""very well""; Margin of Error; Population 5 years and over - Other languages"
HC04_EST_VC07,"Percent  of specified language speakers - Speak English less than ""very well""; Estimate; Population 5 years and over - Other languages"
HC04_MOE_VC07,"Percent  of specified language speakers - Speak English less than ""very well""; Margin of Error; Population 5 years and over - Other languages"
HC01_EST_VC09,Total; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole
HC01_MOE_VC09,Total; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole
HC03_EST_VC09,"Percent  of specified language speakers - Speak English ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole"
HC03_MOE_VC09,"Percent  of specified language speakers - Speak English ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole"
HC04_EST_VC09,"Percent  of specified language speakers - Speak English less than ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole"
HC04_MOE_VC09,"Percent  of specified language speakers - Speak English less than ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole"
HC01_EST_VC10,Total; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 5-17 years
HC01_MOE_VC10,Total; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 5-17 years
HC03_EST_VC10,"Percent  of specified language speakers - Speak English ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 5-17 years"
HC03_MOE_VC10,"Percent  of specified language speakers - Speak English ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 5-17 years"
HC04_EST_VC10,"Percent  of specified language speakers - Speak English less than ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 5-17 years"
HC04_MOE_VC10,"Percent  of specified language speakers - Speak English less than ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 5-17 years"
HC01_EST_VC11,Total; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 18-64 years
HC01_MOE_VC11,Total; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 18-64 years
HC03_EST_VC11,"Percent  of specified language speakers - Speak English ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 18-64 years"
HC03_MOE_VC11,"Percent  of specified language speakers - Speak English ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 18-64 years"
HC04_EST_VC11,"Percent  of specified language speakers - Speak English less than ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 18-64 years"
HC04_MOE_VC11,"Percent  of specified language speakers - Speak English less than ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 18-64 years"
HC01_EST_VC12,Total; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 65 years and over
HC01_MOE_VC12,Total; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 65 years and over
HC03_EST_VC12,"Percent  of specified language speakers - Speak English ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 65 years and over"
HC03_MOE_VC12,"Percent  of specified language speakers - Speak English ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 65 years and over"
HC04_EST_VC12,"Percent  of specified language speakers - Speak English less than ""very well""; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 65 years and over"
HC04_MOE_VC12,"Percent  of specified language speakers - Speak English less than ""very well""; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 65 years and over"
HC01_EST_VC13,Total; Estimate; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages
HC01_MOE_VC13,Total; Margin of Error; Population 5 years and over - SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages
