GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US36001000100,36001000100,"Census Tract 1, Albany County, New York",2308,256,875,240,1207,233,0,123,10,17,0,123,122,134,94,82,73,73,21,29
1400000US36001000200,36001000200,"Census Tract 2, Albany County, New York",5506,621,633,184,4261,601,0,123,92,65,0,123,104,122,416,409,0,123,416,409
1400000US36001000300,36001000300,"Census Tract 3, Albany County, New York",6471,636,3047,494,2795,522,0,123,151,134,0,123,252,275,226,221,61,97,165,198
1400000US36001000401,36001000401,"Census Tract 4.01, Albany County, New York",2211,273,1938,259,204,157,30,35,22,25,0,123,0,123,17,28,17,28,0,123
1400000US36001000403,36001000403,"Census Tract 4.03, Albany County, New York",4672,383,3160,543,232,182,38,54,954,392,57,73,0,123,231,192,26,40,205,181
1400000US36001000404,36001000404,"Census Tract 4.04, Albany County, New York",5129,732,3458,515,645,222,65,62,561,229,0,123,352,148,48,41,25,29,23,28
1400000US36001000501,36001000501,"Census Tract 5.01, Albany County, New York",3247,442,1982,468,744,283,72,84,121,137,0,123,51,56,277,243,14,21,263,244
1400000US36001000502,36001000502,"Census Tract 5.02, Albany County, New York",3914,594,2776,572,478,169,0,123,160,122,0,123,153,71,347,242,12,19,335,242
1400000US36001000600,36001000600,"Census Tract 6, Albany County, New York",3694,578,1560,402,1442,406,44,69,256,235,0,123,351,232,41,44,0,123,41,44
1400000US36001000700,36001000700,"Census Tract 7, Albany County, New York",4237,503,547,164,3248,495,63,85,0,123,0,123,184,254,195,115,0,123,195,115
1400000US36001000800,36001000800,"Census Tract 8, Albany County, New York",2236,422,425,259,1609,368,0,123,9,15,0,123,131,128,62,65,0,123,62,65
1400000US36001001100,36001001100,"Census Tract 11, Albany County, New York",1454,300,893,190,427,162,12,18,69,85,0,123,53,51,0,123,0,123,0,123
1400000US36001001400,36001001400,"Census Tract 14, Albany County, New York",3742,466,3182,486,358,162,0,123,134,113,0,123,18,28,50,60,0,123,50,60
1400000US36001001500,36001001500,"Census Tract 15, Albany County, New York",4198,539,3377,572,505,224,12,18,232,178,0,123,26,41,46,41,0,123,46,41
1400000US36001001600,36001001600,"Census Tract 16, Albany County, New York",3851,500,3126,500,421,169,7,12,185,119,0,123,64,56,48,38,0,123,48,38
1400000US36001001700,36001001700,"Census Tract 17, Albany County, New York",4070,384,3110,385,434,194,20,32,278,161,0,123,66,57,162,114,0,123,162,114
1400000US36001001801,36001001801,"Census Tract 18.01, Albany County, New York",6749,567,5958,560,327,120,0,123,337,185,0,123,16,25,111,82,0,123,111,82
1400000US36001001802,36001001802,"Census Tract 18.02, Albany County, New York",4151,308,3527,383,295,129,0,123,109,81,0,123,28,34,192,120,0,123,192,120
1400000US36001001901,36001001901,"Census Tract 19.01, Albany County, New York",2709,256,2337,275,224,132,0,123,52,60,0,123,9,14,87,69,10,17,77,67
1400000US36001001902,36001001902,"Census Tract 19.02, Albany County, New York",2772,206,2105,254,487,239,17,23,72,88,0,123,24,32,67,46,13,21,54,42
1400000US36001002000,36001002000,"Census Tract 20, Albany County, New York",5247,527,2711,410,1519,416,27,42,97,122,0,123,556,318,337,263,16,25,321,265
1400000US36001002100,36001002100,"Census Tract 21, Albany County, New York",2877,488,1414,352,881,343,21,27,401,226,0,123,75,58,85,106,0,123,85,106
1400000US36001002200,36001002200,"Census Tract 22, Albany County, New York",2398,362,1421,252,551,296,0,123,65,54,0,123,220,206,141,115,46,44,95,77
1400000US36001002300,36001002300,"Census Tract 23, Albany County, New York",1936,312,744,208,1056,252,53,66,0,123,11,27,45,40,27,30,9,17,18,21
1400000US36001002500,36001002500,"Census Tract 25, Albany County, New York",2394,411,474,190,1456,336,5,11,22,36,18,36,228,162,191,95,54,46,137,92
1400000US36001002600,36001002600,"Census Tract 26, Albany County, New York",5778,1067,1691,1025,3162,509,8,13,273,235,31,48,348,182,265,136,149,111,116,81
1400000US36001012700,36001012700,"Census Tract 127, Albany County, New York",2580,260,2507,254,18,22,7,13,0,123,0,123,37,49,11,18,0,123,11,18
1400000US36001012800,36001012800,"Census Tract 128, Albany County, New York",3574,354,2962,429,346,221,7,11,0,123,0,123,65,63,194,103,9,15,185,102
1400000US36001012900,36001012900,"Census Tract 129, Albany County, New York",3015,258,2802,284,78,54,0,123,35,44,0,123,62,64,38,32,9,13,29,30
1400000US36001013000,36001013000,"Census Tract 130, Albany County, New York",6947,390,6511,451,144,135,23,34,158,168,0,123,0,123,111,101,0,123,111,101
1400000US36001013100,36001013100,"Census Tract 131, Albany County, New York",2565,21,2284,143,81,99,15,16,35,39,0,123,93,79,57,37,12,19,45,34
1400000US36001013200,36001013200,"Census Tract 132, Albany County, New York",3857,298,3316,389,375,292,15,17,0,123,0,123,151,177,0,123,0,123,0,123
1400000US36001013300,36001013300,"Census Tract 133, Albany County, New York",4189,267,3451,317,351,210,13,15,46,57,0,123,150,148,178,98,0,123,178,98
1400000US36001013400,36001013400,"Census Tract 134, Albany County, New York",2267,253,1919,262,348,252,0,123,0,123,0,123,0,123,0,123,0,123,0,123
1400000US36001013503,36001013503,"Census Tract 135.03, Albany County, New York",4003,304,3484,307,147,119,0,123,332,163,0,123,31,28,9,15,9,15,0,123
1400000US36001013505,36001013505,"Census Tract 135.05, Albany County, New York",2662,329,2527,334,89,94,0,123,46,59,0,123,0,123,0,123,0,123,0,123
1400000US36001013506,36001013506,"Census Tract 135.06, Albany County, New York",6290,349,5377,414,397,231,0,123,431,250,0,123,61,69,24,31,0,123,24,31
1400000US36001013507,36001013507,"Census Tract 135.07, Albany County, New York",3419,348,2675,397,32,42,0,123,360,206,0,123,167,188,185,173,12,20,173,172
1400000US36001013508,36001013508,"Census Tract 135.08, Albany County, New York",6601,343,5859,383,138,156,0,123,474,138,0,123,79,122,51,54,31,38,20,34
1400000US36001013601,36001013601,"Census Tract 136.01, Albany County, New York",8595,571,7474,638,165,86,4,6,778,347,0,123,36,26,138,119,21,27,117,116
1400000US36001013602,36001013602,"Census Tract 136.02, Albany County, New York",4099,95,3266,251,321,61,0,123,360,200,0,123,143,141,9,15,0,123,9,15
1400000US36001013703,36001013703,"Census Tract 137.03, Albany County, New York",3486,1191,2337,520,739,483,7,13,99,99,0,123,279,249,25,24,7,12,18,22
1400000US36001013705,36001013705,"Census Tract 137.05, Albany County, New York",6517,353,5872,387,205,217,0,123,188,110,0,123,142,163,110,109,11,19,99,108
1400000US36001013706,36001013706,"Census Tract 137.06, Albany County, New York",2188,149,2028,169,40,65,0,123,91,60,0,123,9,15,20,22,0,123,20,22
1400000US36001013707,36001013707,"Census Tract 137.07, Albany County, New York",5911,328,5536,383,144,130,13,22,101,84,0,123,0,123,117,109,0,123,117,109
1400000US36001013801,36001013801,"Census Tract 138.01, Albany County, New York",7034,467,6375,518,395,133,11,19,69,61,0,123,82,79,102,99,0,123,102,99
1400000US36001013802,36001013802,"Census Tract 138.02, Albany County, New York",4319,232,4051,257,72,70,17,26,142,126,0,123,0,123,37,33,0,123,37,33
1400000US36001013901,36001013901,"Census Tract 139.01, Albany County, New York",2580,199,2384,205,72,57,6,10,86,86,0,123,11,18,21,24,0,123,21,24
1400000US36001013902,36001013902,"Census Tract 139.02, Albany County, New York",5259,200,4514,351,170,195,0,123,354,171,0,123,40,44,181,162,46,67,135,151
1400000US36001014001,36001014001,"Census Tract 140.01, Albany County, New York",4155,382,3335,454,416,224,0,123,159,100,0,123,142,138,103,104,0,123,103,104
1400000US36001014002,36001014002,"Census Tract 140.02, Albany County, New York",4414,337,3714,361,519,309,8,15,120,109,0,123,0,123,53,57,46,56,7,12
1400000US36001014100,36001014100,"Census Tract 141, Albany County, New York",5115,413,4727,450,90,95,10,16,244,176,0,123,44,49,0,123,0,123,0,123
1400000US36001014201,36001014201,"Census Tract 142.01, Albany County, New York",5886,345,5382,432,72,81,0,123,252,175,0,123,90,90,90,71,0,123,90,71
1400000US36001014202,36001014202,"Census Tract 142.02, Albany County, New York",5866,405,5209,357,102,114,0,123,444,267,0,123,72,68,39,51,33,50,6,10
1400000US36001014203,36001014203,"Census Tract 142.03, Albany County, New York",5675,331,5364,341,132,148,0,123,85,83,44,64,21,33,29,33,11,18,18,28
1400000US36001014301,36001014301,"Census Tract 143.01, Albany County, New York",2980,871,2334,213,567,818,16,26,0,123,0,123,0,123,63,92,56,91,7,10
1400000US36001014302,36001014302,"Census Tract 143.02, Albany County, New York",7865,400,7229,437,49,55,10,18,341,110,10,17,187,162,39,64,0,123,39,64
1400000US36001014401,36001014401,"Census Tract 144.01, Albany County, New York",4280,16,4139,100,88,91,0,123,20,29,0,123,8,12,25,39,25,39,0,123
1400000US36001014402,36001014402,"Census Tract 144.02, Albany County, New York",3316,20,2882,299,115,104,0,123,0,123,0,123,285,262,34,48,0,123,34,48
1400000US36001014501,36001014501,"Census Tract 145.01, Albany County, New York",2422,194,2349,202,9,17,0,123,21,27,0,123,0,123,43,38,14,22,29,33
1400000US36001014502,36001014502,"Census Tract 145.02, Albany County, New York",3453,193,3246,219,0,123,0,123,0,123,0,123,189,243,18,21,0,123,18,21
1400000US36001014503,36001014503,"Census Tract 145.03, Albany County, New York",2795,18,2678,84,0,123,6,9,77,72,0,123,7,11,27,25,6,10,21,24
1400000US36001014606,36001014606,"Census Tract 146.06, Albany County, New York",3692,200,3344,285,166,149,0,123,182,144,0,123,0,123,0,123,0,123,0,123
1400000US36001014607,36001014607,"Census Tract 146.07, Albany County, New York",8572,358,8037,367,53,53,0,123,455,122,0,123,11,17,16,26,0,123,16,26
1400000US36001014608,36001014608,"Census Tract 146.08, Albany County, New York",4017,357,3586,409,91,63,0,123,169,102,0,123,54,40,117,132,34,46,83,119
1400000US36001014609,36001014609,"Census Tract 146.09, Albany County, New York",4612,399,3843,418,102,191,0,123,491,279,14,23,13,20,149,138,90,106,59,94
1400000US36001014611,36001014611,"Census Tract 146.11, Albany County, New York",1748,214,1514,153,12,19,0,123,205,213,0,123,8,12,9,15,9,15,0,123
1400000US36001014612,36001014612,"Census Tract 146.12, Albany County, New York",1618,120,1563,117,0,123,0,123,0,123,0,123,20,31,35,34,14,21,21,23
1400000US36001014613,36001014613,"Census Tract 146.13, Albany County, New York",2676,220,2483,248,97,112,0,123,50,69,0,123,46,72,0,123,0,123,0,123
1400000US36001014614,36001014614,"Census Tract 146.14, Albany County, New York",5740,323,4679,379,54,47,30,46,866,347,0,123,74,93,37,36,12,18,25,30
1400000US36001014615,36001014615,"Census Tract 146.15, Albany County, New York",2472,248,1953,265,90,116,0,123,347,242,0,123,75,95,7,13,7,13,0,123
1400000US36001014700,36001014700,"Census Tract 147, Albany County, New York",2682,171,2638,184,0,123,0,123,0,123,0,123,23,27,21,33,21,33,0,123
1400000US36001014801,36001014801,"Census Tract 148.01, Albany County, New York",2808,23,2694,114,80,106,0,123,34,40,0,123,0,123,0,123,0,123,0,123
1400000US36001014802,36001014802,"Census Tract 148.02, Albany County, New York",1873,171,1815,174,27,30,4,9,5,9,0,123,5,8,17,19,0,123,17,19
1400000US36001014803,36001014803,"Census Tract 148.03, Albany County, New York",3392,17,3227,166,51,65,0,123,0,123,0,123,16,25,98,87,38,57,60,66
1400000US36003940200,36003940200,"Census Tract 9402, Allegany County, New York",0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123
1400000US36003950100,36003950100,"Census Tract 9501, Allegany County, New York",2617,188,2530,181,0,123,6,8,45,37,0,123,0,123,36,31,0,123,36,31
1400000US36003950300,36003950300,"Census Tract 9503, Allegany County, New York",4994,312,4844,303,36,24,1,3,59,31,0,123,21,17,33,21,0,123,33,21
1400000US36003950400,36003950400,"Census Tract 9504, Allegany County, New York",3422,226,3359,232,14,15,9,8,0,123,0,123,0,123,40,42,0,123,40,42
1400000US36003950500,36003950500,"Census Tract 9505, Allegany County, New York",4030,264,3963,258,12,23,20,20,35,32,0,123,0,123,0,123,0,123,0,123
1400000US36003950600,36003950600,"Census Tract 9506, Allegany County, New York",3692,259,3582,249,19,22,15,18,3,6,0,123,53,58,20,15,0,123,20,15
1400000US36003950700,36003950700,"Census Tract 9507, Allegany County, New York",4081,317,3945,318,41,30,14,15,0,123,0,123,31,34,50,31,0,123,50,31
1400000US36003950800,36003950800,"Census Tract 9508, Allegany County, New York",6288,238,5675,248,237,107,10,17,245,74,12,20,31,31,78,52,12,20,66,48
1400000US36003950900,36003950900,"Census Tract 9509, Allegany County, New York",4064,345,4046,347,6,9,8,13,0,123,0,123,0,123,4,7,0,123,4,7
1400000US36003951000,36003951000,"Census Tract 9510, Allegany County, New York",3338,275,3164,250,85,74,39,34,20,20,0,123,0,123,30,29,0,123,30,29
1400000US36003951100,36003951100,"Census Tract 9511, Allegany County, New York",3584,314,3479,317,29,40,29,24,33,43,0,123,0,123,14,16,10,15,4,6
1400000US36003951200,36003951200,"Census Tract 9512, Allegany County, New York",5126,310,5041,288,8,9,0,123,21,18,0,123,0,123,56,53,37,50,19,14
1400000US36003951300,36003951300,"Census Tract 9513, Allegany County, New York",3869,315,3760,318,20,27,6,6,26,27,0,123,8,13,49,39,14,19,35,36
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",11517,383,1620,225,6502,328,14,17,216,78,0,123,2699,226,466,116,360,105,106,56
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",4286,542,622,263,1325,499,38,68,183,193,0,123,2089,534,29,36,24,35,5,9
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",4893,484,561,231,1129,259,0,123,115,115,0,123,2848,488,240,139,33,26,207,138
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",5140,401,983,293,1840,341,0,123,0,123,0,123,2193,398,124,71,28,36,96,62
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",2142,871,797,353,1017,699,20,39,51,82,0,123,251,154,6,19,6,19,0,123
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",8802,751,887,398,3339,689,0,123,11,18,0,123,4444,866,121,110,104,108,17,23
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",5036,517,1886,455,2146,475,8,17,0,123,0,123,937,384,59,68,0,123,59,68
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",4934,478,1976,493,1230,316,15,24,0,123,0,123,1621,506,92,72,92,72,0,123
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",3063,286,529,273,2158,408,0,123,0,123,0,123,312,181,64,51,27,38,37,33
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",4764,580,1137,369,1633,448,21,35,0,123,0,123,1890,491,83,94,36,60,47,72
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",5755,544,258,138,4166,562,16,26,118,178,0,123,1093,409,104,124,79,115,25,41
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",1227,217,256,147,481,211,0,123,13,20,0,123,477,196,0,123,0,123,0,123
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",3498,334,1187,382,1328,270,72,111,0,123,0,123,810,297,101,107,89,105,12,21
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",3729,512,1132,385,1002,190,0,123,0,123,0,123,1572,537,23,37,0,123,23,37
