,GEO.id,GEO.id2,HC01_EST_VC02,HC01_EST_VC03,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC06,HC01_EST_VC07,year
1,1400000US36001000100,36001000100,76.5,23.5,12.3,10.7,0.5,0.0,2010
2,1400000US36001000200,36001000200,93.3,6.7,1.1,1.3,0.0,4.2,2010
3,1400000US36001000300,36001000300,90.8,9.2,3.4,4.3,0.9,0.6,2010
4,1400000US36001000401,36001000401,91.0,9.0,0.4,2.9,1.0,4.7,2010
5,1400000US36001000403,36001000403,72.9,27.1,1.2,6.8,19.2,0.0,2010
6,1400000US36001000404,36001000404,74.7,25.3,8.9,5.7,8.2,2.5,2010
7,1400000US36001000501,36001000501,91.0,9.0,7.0,1.4,0.6,0.0,2010
8,1400000US36001000502,36001000502,87.2,12.8,5.9,4.6,1.9,0.4,2010
9,1400000US36001000600,36001000600,73.2,26.8,14.4,9.1,1.1,2.2,2010
10,1400000US36001000700,36001000700,83.5,16.5,6.4,4.4,0.0,5.6,2010
11,1400000US36001000800,36001000800,89.2,10.8,9.0,1.3,0.4,0.0,2010
12,1400000US36001001100,36001001100,87.1,12.9,8.2,4.8,0.0,0.0,2010
13,1400000US36001001400,36001001400,92.3,7.7,0.7,3.8,1.2,2.1,2010
14,1400000US36001001500,36001001500,84.7,15.3,4.5,7.2,3.6,0.0,2010
15,1400000US36001001600,36001001600,91.1,8.9,2.8,4.3,1.1,0.7,2010
16,1400000US36001001700,36001001700,81.4,18.6,5.3,7.4,5.1,0.8,2010
17,1400000US36001001801,36001001801,85.1,14.9,3.1,6.1,4.4,1.3,2010
18,1400000US36001001802,36001001802,75.2,24.8,4.5,16.6,2.6,1.2,2010
19,1400000US36001001901,36001001901,93.2,6.8,3.7,1.5,1.6,0.0,2010
20,1400000US36001001902,36001001902,91.7,8.3,3.2,4.7,0.3,0.0,2010
21,1400000US36001002000,36001002000,79.0,21.0,12.9,6.5,0.4,1.2,2010
22,1400000US36001002100,36001002100,81.2,18.8,2.4,2.4,12.6,1.4,2010
23,1400000US36001002200,36001002200,84.8,15.2,10.0,2.4,2.3,0.5,2010
24,1400000US36001002300,36001002300,90.6,9.4,2.6,4.7,0.0,2.1,2010
25,1400000US36001002500,36001002500,86.6,13.4,11.8,0.0,1.0,0.6,2010
26,1400000US36001002600,36001002600,86.4,13.6,8.3,3.3,2.0,0.0,2010
