cartodb_id,the_geom,store_name,longitude,latitude,address,address_line__2,city,state,zip5,zip4,county,count_vals,count_vals_density
2,0101000020E61000003A77BB5E9A7C52C0C576F700DD634440,FIRST ON FIRST DELI,-73.946922,40.780182,1756 1st Ave,,New York,NY,10128,5274,NEW YORK ,1,384615.384615385
3,0101000020E61000003FAA61BF277952C073486AA1646C4440,1976 J J DELI GROCERY CORP,-73.893051,40.846821,1976 Arthur Ave,,Bronx,NY,10457,4702,BRONX ,1,384615.384615385
4,0101000020E61000003674B33F507352C035D4282499614440,H&J Vegetable & Grocery Inc.,-73.801773,40.762486,3601 164th St,,Flushing,NY,11358,2003,QUEENS ,1,384615.384615385
7,0101000020E610000021C9ACDEE17952C09D2CB5DE6F564440,East New York Grocery & Deli,-73.904411,40.675289,1737 E New York Ave,,Brooklyn,NY,11212,8020,KINGS ,1,384615.384615385
8,0101000020E6100000ED9925016A7C52C05A643BDF4F674440,Watkins Products Distributors LLC,-73.94397,40.807125,46 W 125th St,,New York,NY,10027,4502,NEW YORK ,1,384615.384615385
9,0101000020E61000004CE3175E497D52C07E3672DD94664440,Harlem Naturally Inc,-73.957603,40.801418,2053 Frederick Douglas Blvd,,New York,NY,10026,7902,NEW YORK ,1,384615.384615385
20,0101000020E61000000821205F427952C02B172AFF5A6C4440,Lucky 7 Fish Market,-73.894676,40.846527,563A E Tremont Ave,,Bronx,NY,10457,4601,BRONX ,1,384615.384615385
21,0101000020E6100000A9C29FE1CD7F52C0EC8A19E1ED5B4440,Dahing Seafood Market Inc,-73.996941,40.718197,127 Mott St,,New York,NY,10013,5512,NEW YORK ,1,384615.384615385
23,0101000020E6100000F7CC9200357D52C02BDB87BCE5584440,Central Yetev Lev D'Satmar Meat Inc,-73.95636,40.694511,684 Myrtle Ave,,Brooklyn,NY,11205,3915,KINGS ,1,384615.384615385
38,0101000020E6100000E02D90A0F87A52C00B42791F47534440,Fatima Grocery,-73.921425,40.650608,5914 Snyder Ave,,Brooklyn,NY,11203,4818,KINGS ,1,384615.384615385
53,0101000020E6100000187B2FBE687A52C0B9AAECBB226C4440,Unity African Market,-73.912643,40.84481,60 E 174th St,,Bronx,NY,10452,5809,BRONX ,1,384615.384615385
72,0101000020E610000087DBA161317752C0AEBCE47FF2594440,STOP & SHOP SUPER CENTER 539,-73.862389,40.702713,8889 Union Tpke,,Glendale,NY,11385,,QUEENS ,1,384615.384615385
