GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Households receiving food stamps; Estimate; Households,Households receiving food stamps; Margin of Error; Households,Households not receiving food stamps; Estimate; Households,Households not receiving food stamps; Margin of Error; Households,Total; Estimate; Households - With one or more people 60 years and over,Total; Margin of Error; Households - With one or more people 60 years and over,Households receiving food stamps; Estimate; Households - With one or more people 60 years and over,Households receiving food stamps; Margin of Error; Households - With one or more people 60 years and over,Households not receiving food stamps; Estimate; Households - With one or more people 60 years and over,Households not receiving food stamps; Margin of Error; Households - With one or more people 60 years and over,Total; Estimate; Households - With children under 18 years,Total; Margin of Error; Households - With children under 18 years,Households receiving food stamps; Estimate; Households - With children under 18 years,Households receiving food stamps; Margin of Error; Households - With children under 18 years,Households not receiving food stamps; Estimate; Households - With children under 18 years,Households not receiving food stamps; Margin of Error; Households - With children under 18 years,Total; Estimate; Households - POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Total; Margin of Error; Households - POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households receiving food stamps; Estimate; Households - POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households receiving food stamps; Margin of Error; Households - POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households not receiving food stamps; Estimate; Households - POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households not receiving food stamps; Margin of Error; Households - POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Total; Estimate; Households - DISABILITY STATUS - With one or more people with a disability,Total; Margin of Error; Households - DISABILITY STATUS - With one or more people with a disability,Households receiving food stamps; Estimate; Households - DISABILITY STATUS - With one or more people with a disability,Households receiving food stamps; Margin of Error; Households - DISABILITY STATUS - With one or more people with a disability,Households not receiving food stamps; Estimate; Households - DISABILITY STATUS - With one or more people with a disability,Households not receiving food stamps; Margin of Error; Households - DISABILITY STATUS - With one or more people with a disability,Total; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Total; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households not receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households not receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Total; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Total; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households not receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households not receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Total; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Total; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households not receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households not receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Total; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Total; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households not receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households not receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Total; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Total; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households not receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households not receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Total; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households not receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households not receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Total; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households not receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households not receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Total; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Total; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households not receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households not receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Total; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Hispanic or Latino origin (of any race),Total; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Hispanic or Latino origin (of any race),Households receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Hispanic or Latino origin (of any race),Households receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Hispanic or Latino origin (of any race),Households not receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Hispanic or Latino origin (of any race),Households not receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Hispanic or Latino origin (of any race),"Total; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - White alone, not Hispanic or Latino","Total; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - White alone, not Hispanic or Latino","Households receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - White alone, not Hispanic or Latino","Households receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - White alone, not Hispanic or Latino","Households not receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - White alone, not Hispanic or Latino","Households not receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - White alone, not Hispanic or Latino",Total; Estimate; Households - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Total; Margin of Error; Households - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households receiving food stamps; Estimate; Households - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households receiving food stamps; Margin of Error; Households - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households not receiving food stamps; Estimate; Households - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households not receiving food stamps; Margin of Error; Households - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Total; Estimate; WORK STATUS - Families,Total; Margin of Error; WORK STATUS - Families,Households receiving food stamps; Estimate; WORK STATUS - Families,Households receiving food stamps; Margin of Error; WORK STATUS - Families,Households not receiving food stamps; Estimate; WORK STATUS - Families,Households not receiving food stamps; Margin of Error; WORK STATUS - Families,Total; Estimate; WORK STATUS - Families - No workers in past 12 months,Total; Margin of Error; WORK STATUS - Families - No workers in past 12 months,Households receiving food stamps; Estimate; WORK STATUS - Families - No workers in past 12 months,Households receiving food stamps; Margin of Error; WORK STATUS - Families - No workers in past 12 months,Households not receiving food stamps; Estimate; WORK STATUS - Families - No workers in past 12 months,Households not receiving food stamps; Margin of Error; WORK STATUS - Families - No workers in past 12 months,Total; Estimate; WORK STATUS - Families - 1 worker in past 12 months,Total; Margin of Error; WORK STATUS - Families - 1 worker in past 12 months,Households receiving food stamps; Estimate; WORK STATUS - Families - 1 worker in past 12 months,Households receiving food stamps; Margin of Error; WORK STATUS - Families - 1 worker in past 12 months,Households not receiving food stamps; Estimate; WORK STATUS - Families - 1 worker in past 12 months,Households not receiving food stamps; Margin of Error; WORK STATUS - Families - 1 worker in past 12 months,Total; Estimate; WORK STATUS - Families - 2 or more workers in past 12 months,Total; Margin of Error; WORK STATUS - Families - 2 or more workers in past 12 months,Households receiving food stamps; Estimate; WORK STATUS - Families - 2 or more workers in past 12 months,Households receiving food stamps; Margin of Error; WORK STATUS - Families - 2 or more workers in past 12 months,Households not receiving food stamps; Estimate; WORK STATUS - Families - 2 or more workers in past 12 months,Households not receiving food stamps; Margin of Error; WORK STATUS - Families - 2 or more workers in past 12 months,Total; Estimate; PERCENT IMPUTED - Food stamp/SNAP recipiency,Total; Margin of Error; PERCENT IMPUTED - Food stamp/SNAP recipiency,Households receiving food stamps; Estimate; PERCENT IMPUTED - Food stamp/SNAP recipiency,Households receiving food stamps; Margin of Error; PERCENT IMPUTED - Food stamp/SNAP recipiency,Households not receiving food stamps; Estimate; PERCENT IMPUTED - Food stamp/SNAP recipiency,Households not receiving food stamps; Margin of Error; PERCENT IMPUTED - Food stamp/SNAP recipiency
1400000US36001000100,36001000100,"Census Tract 1, Albany County, New York",794,84,120,84,674,108,31.9,8.9,33.3,29.3,31.6,10.3,44.8,9.8,57.5,30.2,42.6,10.8,16.2,10.4,70.0,30.0,6.7,6.7,(X),(X),(X),(X),(X),(X),96.6,3.7,90.8,16.0,97.6,3.5,41.3,12.1,51.7,36.0,39.5,11.3,51.3,10.8,32.5,29.4,54.6,10.2,0.0,4.3,0.0,24.9,0.0,5.1,1.0,1.7,6.7,11.1,0.0,5.1,0.0,4.3,0.0,24.9,0.0,5.1,3.0,4.4,0.0,24.9,3.6,5.2,3.4,3.7,9.2,16.0,2.4,3.5,2.9,4.6,0.0,24.9,3.4,5.4,40.7,12.3,51.7,36.0,38.7,11.5,37619,11511,7021,3449,43214,7289,489,78,69,69,420,83,20.9,14.1,85.5,36.8,10.2,8.0,38.7,14.9,0.0,37.0,45.0,16.6,40.5,15.3,14.5,36.8,44.8,15.5,8.7,(X),(X),(X),(X),(X)
1400000US36001000200,36001000200,"Census Tract 2, Albany County, New York",2145,228,488,164,1657,238,21.5,5.9,10.0,10.9,24.9,7.4,39.5,7.8,78.5,14.9,28.1,8.6,33.8,8.9,65.0,16.3,24.7,8.6,(X),(X),(X),(X),(X),(X),98.2,2.8,100.0,6.9,97.7,3.6,13.9,6.6,14.3,10.6,13.8,7.4,81.0,6.5,82.6,11.1,80.6,7.9,0.0,1.6,0.0,6.9,0.0,2.1,2.6,2.6,0.0,6.9,3.4,3.4,0.0,1.6,0.0,6.9,0.0,2.1,0.7,1.0,3.1,4.7,0.0,2.1,1.8,2.8,0.0,6.9,2.3,3.6,1.4,1.3,6.4,5.6,0.0,2.1,13.1,6.6,11.1,10.6,13.8,7.4,26552,1700,15776,7289,28934,8257,1187,239,394,149,793,208,16.8,9.7,28.7,20.7,11.0,9.4,57.0,12.9,47.7,21.5,61.7,14.6,26.1,11.4,23.6,16.1,27.4,13.7,3.1,(X),(X),(X),(X),(X)
1400000US36001000300,36001000300,"Census Tract 3, Albany County, New York",2448,153,382,137,2066,168,27.8,5.1,14.9,12.1,30.2,5.9,29.8,7.0,33.5,21.5,29.1,8.1,26.5,7.4,76.7,14.8,17.2,7.2,(X),(X),(X),(X),(X),(X),98.6,2.0,100.0,8.7,98.4,2.3,61.7,7.4,53.1,20.4,63.3,7.3,31.3,8.5,46.9,20.4,28.5,8.5,0.0,1.4,0.0,8.7,0.0,1.7,3.5,3.1,0.0,8.7,4.2,3.7,0.0,1.4,0.0,8.7,0.0,1.7,2.1,2.2,0.0,8.7,2.5,2.6,1.4,2.0,0.0,8.7,1.6,2.3,4.8,3.1,11.3,9.9,3.6,2.9,58.9,7.4,41.9,20.7,62.1,7.3,38750,7868,9828,2670,45870,5737,1501,204,212,93,1289,185,24.5,7.5,42.0,27.2,21.6,8.2,36.2,11.0,51.9,29.4,33.6,12.2,39.3,10.2,6.1,9.9,44.8,11.8,2.6,(X),(X),(X),(X),(X)
1400000US36001000401,36001000401,"Census Tract 4.01, Albany County, New York",1092,85,0,123,1092,85,55.6,7.7,-,**,55.6,7.7,6.7,3.4,-,**,6.7,3.4,8.2,6.5,-,**,8.2,6.5,(X),(X),(X),(X),(X),(X),100.0,3.2,-,**,100.0,3.2,91.2,6.5,-,**,91.2,6.5,5.7,6.2,-,**,5.7,6.2,1.1,1.5,-,**,1.1,1.5,2.0,2.3,-,**,2.0,2.3,0.0,3.2,-,**,0.0,3.2,0.0,3.2,-,**,0.0,3.2,0.0,3.2,-,**,0.0,3.2,0.0,3.2,-,**,0.0,3.2,91.2,6.5,-,**,91.2,6.5,62039,25279,-,**,62039,25279,367,69,0,123,367,69,26.7,10.1,-,**,26.7,10.1,21.3,12.1,-,**,21.3,12.1,52.0,13.5,-,**,52.0,13.5,0.0,(X),(X),(X),(X),(X)
1400000US36001000403,36001000403,"Census Tract 4.03, Albany County, New York",2193,150,35,40,2158,154,30.7,5.7,0.0,52.0,31.2,5.8,11.5,4.4,0.0,52.0,11.7,4.4,19.8,6.9,42.9,57.1,19.5,6.8,(X),(X),(X),(X),(X),(X),99.3,1.2,100.0,52.0,99.3,1.3,84.7,6.2,100.0,52.0,84.4,6.2,3.6,3.6,0.0,52.0,3.6,3.6,1.4,2.1,0.0,52.0,1.4,2.2,8.5,4.6,0.0,52.0,8.6,4.6,1.2,1.7,0.0,52.0,1.2,1.8,0.0,1.6,0.0,52.0,0.0,1.6,0.7,1.2,0.0,52.0,0.7,1.3,0.7,1.2,0.0,52.0,0.7,1.3,84.7,6.2,100.0,52.0,84.4,6.2,53644,9829,39688,6476,54574,10515,893,170,20,33,873,162,15.0,6.8,0.0,68.8,15.3,7.0,18.0,10.5,100.0,68.8,16.2,10.5,67.0,10.2,0.0,68.8,68.5,10.1,2.0,(X),(X),(X),(X),(X)
1400000US36001000404,36001000404,"Census Tract 4.04, Albany County, New York",31,16,0,123,31,16,67.7,45.0,-,**,67.7,45.0,32.3,45.0,-,**,32.3,45.0,0.0,55.3,-,**,0.0,55.3,(X),(X),(X),(X),(X),(X),100.0,55.3,-,**,100.0,55.3,100.0,55.3,-,**,100.0,55.3,0.0,55.3,-,**,0.0,55.3,0.0,55.3,-,**,0.0,55.3,0.0,55.3,-,**,0.0,55.3,0.0,55.3,-,**,0.0,55.3,0.0,55.3,-,**,0.0,55.3,0.0,55.3,-,**,0.0,55.3,0.0,55.3,-,**,0.0,55.3,100.0,55.3,-,**,100.0,55.3,28625,54544,-,**,28625,54544,20,22,0,123,20,22,50.0,50.0,-,**,50.0,50.0,0.0,68.8,-,**,0.0,68.8,50.0,50.0,-,**,50.0,50.0,0.0,(X),(X),(X),(X),(X)
1400000US36001000501,36001000501,"Census Tract 5.01, Albany County, New York",1574,127,495,149,1079,169,26.5,6.6,17.2,12.3,30.8,8.3,25.5,7.4,35.8,16.4,20.8,8.7,33.3,9.4,54.7,18.8,23.4,10.8,(X),(X),(X),(X),(X),(X),96.1,4.1,90.3,11.9,98.8,1.9,67.1,6.9,55.6,16.0,72.4,8.6,25.0,6.6,29.9,14.8,22.8,8.0,0.6,0.9,0.0,6.8,0.8,1.3,1.1,1.8,0.0,6.8,1.6,2.5,0.0,2.2,0.0,6.8,0.0,3.2,2.4,2.8,4.8,7.7,1.2,1.9,3.9,4.1,9.7,11.9,1.2,1.9,7.0,4.5,13.5,11.9,4.0,3.4,63.0,8.0,46.9,17.2,70.4,8.8,24771,8211,9880,4043,33643,6124,615,133,154,82,461,130,20.0,9.9,21.4,19.7,19.5,10.8,37.6,13.4,50.6,33.3,33.2,12.5,42.4,13.7,27.9,26.3,47.3,13.9,0.0,(X),(X),(X),(X),(X)
1400000US36001000502,36001000502,"Census Tract 5.02, Albany County, New York",870,123,47,42,823,132,28.3,9.7,17.0,34.8,28.9,10.1,14.8,9.2,0.0,44.9,15.7,9.5,14.1,6.9,59.6,44.3,11.5,7.8,(X),(X),(X),(X),(X),(X),91.6,8.3,40.4,44.3,94.5,8.0,76.0,10.1,17.0,34.8,79.3,10.3,7.9,6.3,23.4,35.4,7.0,6.3,0.0,3.9,0.0,44.9,0.0,4.2,6.0,5.0,0.0,44.9,6.3,5.2,0.0,3.9,0.0,44.9,0.0,4.2,1.7,2.5,0.0,44.9,1.8,2.7,8.4,8.3,59.6,44.3,5.5,8.0,4.9,4.3,0.0,44.9,5.2,4.5,74.1,10.0,17.0,34.8,77.4,10.4,41364,8327,4598,11389,43350,7431,273,114,28,36,245,109,15.8,15.9,100.0,58.2,6.1,8.0,9.2,12.6,0.0,58.2,10.2,13.9,75.1,20.5,0.0,58.2,83.7,16.9,2.8,(X),(X),(X),(X),(X)
1400000US36001000600,36001000600,"Census Tract 6, Albany County, New York",1273,167,228,89,1045,158,15.5,4.5,19.7,12.9,14.5,5.0,25.4,8.3,52.6,21.7,19.4,8.6,44.3,10.6,72.8,19.8,38.1,11.3,(X),(X),(X),(X),(X),(X),98.4,1.5,98.7,3.0,98.3,1.7,48.8,9.1,29.4,16.1,53.0,10.1,35.2,8.2,54.4,19.3,31.0,9.2,1.4,2.2,0.0,14.2,1.7,2.7,4.5,3.7,8.8,12.7,3.5,3.2,0.0,2.7,0.0,14.2,0.0,3.3,8.5,6.3,6.1,6.3,9.0,7.3,1.6,1.5,1.3,3.0,1.7,1.7,9.9,6.7,6.1,6.3,10.7,7.9,48.8,9.1,29.4,16.1,53.0,10.1,21694,8798,12750,5017,31350,19602,429,135,130,79,299,120,16.8,11.1,33.1,25.7,9.7,10.8,35.2,15.8,57.7,27.7,25.4,16.1,48.0,16.2,9.2,14.5,64.9,18.9,0.0,(X),(X),(X),(X),(X)
