,Median_income,"Income_Less_than_$10,000","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $100,000 to $149,999","Income_$10,000_14,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $5,000 to $9,999","Income_$100,000_149,999",Some_other_race_alone_percent,"Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $75,000 to $99,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $150,000 or more"
0,55797.0,2.5,16.7,4.5,2.5,16.7,0.567770730561,12.2,3.1
1,70486.0,3.8,18.7,5.0,2.3,18.7,0.580756756757,17.5,11.5
2,30438.0,15.4,3.7,9.6,7.5,3.7,0.443190512624,8.3,0.8
3,22827.0,28.5,5.5,10.1,18.1,5.5,0.439612963395,4.4,2.9
4,12873.0,37.2,2.3,21.7,25.4,2.3,0.2482190561,5.7,0.0
5,15202.0,38.3,1.2,11.0,21.0,1.2,0.443251249769,4.0,0.5
6,20294.0,36.1,3.5,8.3,12.9,3.5,0.303655446978,3.9,1.9
7,20475.0,31.0,1.1,7.1,23.7,1.1,0.451973194341,5.6,0.9
8,45809.0,9.4,10.8,6.4,8.0,10.8,0.107130554599,9.9,2.4
9,33424.0,17.3,5.2,18.4,12.5,5.2,0.402017291066,0.0,0.0
10,11053.0,46.2,0.7,9.1,22.0,0.7,0.370241116751,5.0,0.0
11,18066.0,28.3,2.3,11.5,13.0,2.3,0.384869408586,0.6,0.0
12,14000.0,39.4,0.0,17.6,13.4,0.0,0.562801932367,0.0,0.0
13,46532.0,13.4,10.8,1.7,7.1,10.8,0.387692307692,13.7,5.0
14,22780.0,29.6,6.4,9.0,19.8,6.4,0.348169607585,9.4,1.2
15,43976.0,8.7,4.7,4.7,8.7,4.7,0.230512991339,13.8,0.0
16,16193.0,37.4,1.8,11.4,24.6,1.8,0.343775627358,4.1,1.3
17,25114.0,27.6,2.3,10.9,22.3,2.3,0.465580098649,5.3,0.5
18,19813.0,33.1,1.3,10.8,23.1,1.3,0.328668171558,3.4,3.3
19,32625.0,27.0,4.3,1.6,18.6,4.3,0.544611819235,6.8,3.2
20,26678.0,21.9,4.9,7.6,19.3,4.9,0.518397997497,2.1,0.3
21,28295.0,17.2,2.6,18.1,12.8,2.6,0.410256410256,4.8,0.0
22,30185.0,20.6,3.4,9.5,13.9,3.4,0.559411482488,9.8,2.4
23,28984.0,24.0,8.0,4.9,19.0,8.0,0.357697578803,11.0,2.8
24,34510.0,21.3,4.8,7.4,13.7,4.8,0.290452711788,11.6,3.5
25,25962.0,16.8,0.0,7.1,12.3,0.0,0.866071428571,3.1,0.0
26,32599.0,12.1,3.7,11.4,7.2,3.7,0.152196382429,11.1,0.4
27,16922.0,31.2,2.4,15.4,17.5,2.4,0.342437958483,9.1,0.0
28,41013.0,16.4,3.7,8.8,8.7,3.7,0.350407144733,7.9,2.9
29,20025.0,19.4,3.9,12.3,13.7,3.9,0.462317922736,2.2,0.8
30,15620.0,31.9,0.9,15.1,22.1,0.9,0.460910944935,0.0,0.0
31,52964.0,13.8,11.8,10.3,12.8,11.8,0.377861398558,15.9,4.4
32,18194.0,31.3,4.5,14.0,21.4,4.5,0.26944078328,3.5,0.0
33,41042.0,5.6,10.8,11.6,4.2,10.8,0.431015079901,13.1,0.0
34,28125.0,17.6,11.2,20.6,9.5,11.2,0.214377959535,6.3,6.2
