,Id,Median_income,"Income_Less_than_$10,000","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $5,000 to $9,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $150,000 or more","Income_$150,000_199,999","Income_$100,000_149,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $10,000 to $14,999",White_alone_percent,"Renter-occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $5,000 to $9,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $100,000 to $149,999",Some_other_race_alone_percent,foodstamp_per_HH
10359,1400000US36005000200,72034.0,10.5,7.6,8.0,6.2,25.5,1.3,0.426244678882,14.2,25.5,0.27688321303,0.258158085569
10360,1400000US36005000400,74836.0,8.1,2.7,9.1,6.8,20.1,2.2,0.351817413356,6.9,20.1,0.264919695689,0.228006246746
10361,1400000US36005001600,32312.0,14.9,8.6,3.3,0.6,7.8,12.4,0.389692124511,8.7,7.8,0.222316720531,0.337067209776
10362,1400000US36005001900,37936.0,16.4,8.0,1.9,1.9,7.0,5.9,0.190659976843,7.5,7.0,0.39521420301,0.299667036626
10363,1400000US36005002000,18086.0,30.6,20.0,2.3,1.3,3.7,11.9,0.308595584782,22.4,3.7,0.177548144669,0.512021672875
10364,1400000US36005002300,14479.0,34.1,22.0,0.0,0.0,1.5,18.1,0.181399245915,21.8,1.5,0.3581901969,0.745998967475
10365,1400000US36005002400,57178.1090089,0.0,0.0,100.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0
10366,1400000US36005002500,17226.0,26.8,18.2,0.0,0.0,5.9,15.3,0.22558356676,18.6,5.9,0.482913165266,0.620108695652
10367,1400000US36005002701,20153.0,29.7,14.5,0.0,0.0,0.0,9.3,0.173076923077,14.5,0.0,0.435013262599,0.657894736842
10368,1400000US36005002702,17147.0,22.3,18.2,0.0,0.0,2.3,22.4,0.161992465467,19.0,2.3,0.47781498535,0.496408045977
10369,1400000US36005002800,49529.0,6.0,2.0,2.3,1.5,14.8,5.3,0.0324589545197,2.3,14.8,0.0960558595962,0.137960582691
10370,1400000US36005003100,37250.0,9.7,8.5,0.0,0.0,4.7,8.1,0.166439290587,6.1,4.7,0.467939972715,0.321499013807
10371,1400000US36005003300,19923.0,26.7,17.7,1.7,1.7,0.6,12.4,0.151584867076,19.4,0.6,0.401329243354,0.687937062937
10372,1400000US36005003500,26541.0,23.2,10.8,0.0,0.0,2.7,8.0,0.0997973657548,11.6,2.7,0.554204660588,0.492786636295
10373,1400000US36005003700,57178.1090089,40.7,26.3,0.0,0.0,0.0,0.0,0.378048780488,26.3,0.0,0.443089430894,0.35593220339
10374,1400000US36005003800,37685.0,21.9,13.5,8.4,0.0,3.8,4.6,0.316010058676,22.6,3.8,0.19614417435,0.337837837838
10375,1400000US36005003900,25990.0,21.3,15.4,4.9,3.6,4.6,10.3,0.185969156335,16.4,4.6,0.606894466284,0.457939011567
10376,1400000US36005004001,48056.0,4.9,4.9,6.1,6.1,11.2,0.0,0.272727272727,9.4,11.2,0.356589147287,0.110204081633
10377,1400000US36005004100,18636.0,27.3,17.3,1.5,0.0,0.5,7.9,0.171865348981,18.8,0.5,0.472668313774,0.525295508274
10378,1400000US36005004200,25741.0,10.8,4.1,0.0,0.0,3.6,16.7,0.268539325843,3.9,3.6,0.147612359551,0.481563421829
10379,1400000US36005004300,21448.0,23.1,17.8,2.4,1.3,2.5,14.4,0.131748390292,19.8,2.5,0.525837873535,0.480601357905
10380,1400000US36005004400,22719.0,20.6,17.8,0.0,0.0,3.7,11.7,0.141354648717,18.6,3.7,0.381573411864,0.469188529591
10381,1400000US36005004600,40950.0,13.9,8.3,5.7,4.4,2.9,8.4,0.306046013911,10.0,2.9,0.255751738898,0.367668097282
10382,1400000US36005004800,30301.0,9.6,4.8,0.0,0.0,7.7,11.5,0.109777444361,5.2,7.7,0.528132033008,0.44847485573
10383,1400000US36005005001,27456.0,19.5,11.3,3.6,2.0,5.3,3.9,0.120163766633,12.3,5.3,0.367656090072,0.519918973666
10384,1400000US36005005002,28039.0,19.8,17.0,1.5,1.5,2.7,12.1,0.146902654867,17.7,2.7,0.554159292035,0.440022740193
10385,1400000US36005005100,18633.0,24.2,13.7,1.8,1.8,1.0,14.1,0.114452503096,13.7,1.0,0.478153192995,0.633163265306
10386,1400000US36005005200,17756.0,28.7,9.6,3.4,2.3,1.7,13.4,0.206851119895,10.1,1.7,0.420289855072,0.523985239852
10387,1400000US36005005300,17719.0,30.9,22.1,0.4,0.0,0.0,12.2,0.0839817547625,22.1,0.0,0.310973973705,0.619487908962
10388,1400000US36005005400,27380.0,16.5,10.7,2.1,2.1,7.5,9.1,0.182666023476,12.4,7.5,0.44267567133,0.432041642568
10389,1400000US36005005600,17771.0,33.2,23.9,0.0,0.0,7.6,13.3,0.14829821718,26.1,7.6,0.478930307942,0.570608495982
10390,1400000US36005005902,38542.0,11.9,10.3,5.3,0.0,1.1,6.9,0.102842542319,12.6,1.1,0.474608751198,0.362441314554
10391,1400000US36005006000,41190.0,14.5,8.7,5.2,0.0,2.0,9.5,0.130573248408,9.8,2.0,0.630573248408,0.369942196532
10392,1400000US36005006100,48298.0,10.5,9.7,2.2,1.5,3.9,3.0,0.0509983810038,6.0,3.9,0.10577441986,0.107422775473
10393,1400000US36005006200,24480.0,22.1,9.6,0.0,0.0,5.9,9.3,0.114586070959,10.0,5.9,0.416425755585,0.460969597371
10394,1400000US36005006300,32064.0,20.8,11.8,1.9,0.2,6.3,7.5,0.259083728278,12.6,6.3,0.391108102009,0.415485278081
10395,1400000US36005006400,30726.0,20.3,14.5,2.9,2.9,6.4,12.6,0.28077994429,15.9,6.4,0.279665738162,0.435085007728
10396,1400000US36005006500,21384.0,26.1,16.3,1.7,1.0,2.8,12.7,0.146163659559,16.3,2.8,0.497357390195,0.51291322314
10397,1400000US36005006700,21016.0,29.1,16.6,1.5,0.3,3.0,11.4,0.124242015901,16.5,3.0,0.520819296591,0.572664359862
10398,1400000US36005006800,47232.0,10.5,4.1,1.2,1.2,13.0,5.9,0.116180048662,5.9,13.0,0.390510948905,0.231006160164
10399,1400000US36005006900,19741.0,23.0,14.3,1.7,1.0,6.8,21.0,0.111059153612,15.2,6.8,0.445639466916,0.643928035982
10400,1400000US36005007000,34191.0,11.6,8.9,2.6,2.6,15.3,7.6,0.226795096322,9.2,15.3,0.423598949212,0.440998487141
10401,1400000US36005007100,38289.0,11.6,5.8,4.3,2.2,5.9,5.0,0.0938358853553,8.2,5.9,0.430702787593,0.397674418605
10402,1400000US36005007200,37634.0,9.4,6.7,2.6,2.6,8.1,12.5,0.175541051185,6.5,8.1,0.302301614565,0.358989777511
10403,1400000US36005007300,18358.0,24.7,12.9,0.9,0.9,2.5,17.6,0.0757777186918,13.0,2.5,0.543206593991,0.566227730442
10404,1400000US36005007400,44455.0,7.2,3.6,6.8,6.8,9.3,7.5,0.301237964237,1.3,9.3,0.409078404402,0.240264511389
10405,1400000US36005007500,25452.0,18.4,12.8,0.9,0.3,3.5,15.9,0.0943025540275,14.1,3.5,0.409537417396,0.464864864865
10406,1400000US36005007600,33465.0,16.0,9.7,3.9,2.5,5.1,10.5,0.226239484518,11.5,5.1,0.356183998568,0.3927680798
10407,1400000US36005007700,26486.0,13.6,12.1,3.3,3.3,3.2,10.8,0.142265907915,15.4,3.2,0.570098292809,0.406301824212
10408,1400000US36005007800,30437.0,20.8,6.2,1.7,1.0,9.3,8.0,0.220006136852,7.2,9.3,0.428505676588,0.398116013882
10409,1400000US36005007900,24278.0,30.1,22.8,2.9,0.0,2.0,10.8,0.148909657321,23.3,2.0,0.576168224299,0.556837606838
10410,1400000US36005008300,19818.0,28.0,15.3,2.5,0.3,4.5,11.8,0.0857308921825,16.6,4.5,0.602586457425,0.563229118059
10411,1400000US36005008400,60135.0,8.2,4.2,9.9,7.2,12.9,2.5,0.267365661861,6.8,12.9,0.249017038008,0.219298245614
10412,1400000US36005008500,27174.0,22.1,18.2,0.7,0.7,4.9,11.2,0.096324886726,19.7,4.9,0.637858701124,0.477142857143
10413,1400000US36005008600,23045.0,25.2,18.7,1.8,1.8,2.6,12.9,0.32369643779,21.2,2.6,0.30665978317,0.538623595506
10414,1400000US36005008700,29188.0,19.8,15.8,1.7,1.7,5.9,12.0,0.153282239254,16.3,5.9,0.57080973009,0.447326627845
10415,1400000US36005008900,20849.0,33.9,20.9,0.0,0.0,3.7,7.1,0.13321698662,21.5,3.7,0.546829552065,0.591887417219
10416,1400000US36005009000,27000.0,27.8,18.4,5.6,3.9,8.1,8.2,0.383774453395,21.6,8.1,0.221518987342,0.450764006791
10417,1400000US36005009200,35227.0,16.6,11.4,4.7,1.7,6.8,5.4,0.16684453931,14.8,6.8,0.460156527926,0.282339707537
10418,1400000US36005009300,30159.0,17.4,8.5,0.4,0.4,6.1,13.1,0.177382231088,8.6,6.1,0.505140402025,0.41169451074
10419,1400000US36005009600,41250.0,11.2,11.2,6.5,5.3,11.8,8.7,0.205308352849,13.8,11.8,0.397345823575,0.222683264177
10420,1400000US36005009800,57438.0,3.9,2.2,8.4,1.8,12.7,7.7,0.365006943067,3.7,12.7,0.277524300734,0.205083766609
10421,1400000US36005011000,57178.1090089,12.7,0.0,0.0,0.0,45.5,16.4,0.0,0.0,45.5,1.0,0.290909090909
10422,1400000US36005011502,21765.0,23.4,14.7,0.7,0.0,1.4,13.6,0.213315812527,15.8,1.4,0.377573368375,0.558088235294
10423,1400000US36005011700,25483.0,21.7,10.6,1.6,0.0,5.0,10.2,0.230817217717,10.0,5.0,0.395508421709,0.435008665511
10424,1400000US36005011800,83077.0,3.8,1.1,14.5,7.6,24.4,5.5,0.818419090231,4.0,24.4,0.0866890380313,0.0170827858081
10425,1400000US36005011900,22097.0,26.6,18.8,0.8,0.0,0.7,8.6,0.123505265037,19.8,0.7,0.498126003926,0.566649511065
10426,1400000US36005012101,27813.0,13.9,7.8,0.3,0.0,3.3,10.9,0.143277723258,9.3,3.3,0.552829571475,0.384349827388
10427,1400000US36005012102,20028.0,18.8,7.0,0.6,0.6,0.0,19.8,0.148228882834,7.1,0.0,0.601089918256,0.499058380414
10428,1400000US36005012300,21300.0,33.7,23.0,3.4,2.4,5.7,9.9,0.0689655172414,24.8,5.7,0.538250742179,0.538255033557
10429,1400000US36005012500,26348.0,13.8,8.6,3.9,1.3,6.2,7.9,0.120084269663,10.1,6.2,0.544709737828,0.411807580175
10430,1400000US36005012701,18641.0,32.8,23.4,0.0,0.0,2.6,10.4,0.180220883534,25.3,2.6,0.501004016064,0.693421052632
10431,1400000US36005012901,18269.0,24.8,19.7,0.0,0.0,1.1,19.9,0.128703012198,20.5,1.1,0.388100572567,0.598518518519
10432,1400000US36005013000,77917.0,3.9,1.5,19.0,16.5,13.6,2.2,0.698680351906,3.5,13.6,0.125366568915,0.145021645022
