cartodb_id,the_geom,puma,ct2010,borocode,boroct2010,ntaname,ntacode,id,cdeligibil,boroname,shape_leng,shape_area,ctlabel,count_vals,count_vals_density
2,0106000020E610000001000000010300000001000000340000003DFC89E6D28352C061BA363B034C44408DFB5929D18352C0BE3C53ABFE4B44400A7DE782D18352C08B9A3577FE4B4440577B5137D38352C0DF1B31CB024C444031495E80D48352C05ED81E00014C44409A97F01BE08352C089D329DEF34B4440C3E24CF5EC8352C0C55B4E19DE4B4440020F814FFA8352C03BC5FD79C74B4440A6E4E1B9168452C0AA9C12EB8B4B44408D768781298452C0BBE49A0E644B4440FD3BD661338452C0B37F09EF784B4440CA04C4CF348452C0434118FF7A4B4440F441B712368452C0484D21D17C4B44401777BA55358452C0B59F363A7E4B4440C85929D8348452C01AF8F70C804B44404C7CBDBA348452C0946CD41B824B4440A1929408358452C0BF62021F844B444042DB03B0358452C07B7129D2854B4440B0F7808C368452C0A7B5090F874B4440D180D4BA418452C0D3C8226C904B444016EDFF97438452C0ED1ECB53904B444042ABAB46448452C051098FA9914B4440E9D0FF614E8452C09803976FA54B444099477D29528452C07B7E84DAB04B444032117D54598452C05059ED65C94B4440E6446E805C8452C07B6F2897D54B4440A8C9E9525F8452C06D306D67E04B444053FCAC11758452C03A55719C314C4440B12D0F0B768452C0D1A8E64A354C444000ACC515828452C0E0B0DECD614C44402190A6D4738452C0C99E3B276B4C444086979B4A698452C0DC21B70C724C444070BED1DE5F8452C0A5BAA04B784C44402FFA253B508452C066C3348C824C44404280AF7F438452C054F3DA168B4C4440980FE7B13D8452C01B636FDA8E4C444027A79A15388452C0D0FBC382924C4440C8EDB151368452C08EBB64B4934C44407F5E87DA2C8452C090C764E8994C4440485BD9022B8452C0A215D5319B4C4440022307A2148452C04F0AC1E5A94C4440153BBC73128452C0EC0A4EEBA34C4440676CA1AF118452C0E94B8718A24C4440D8C17F190D8452C08EB5BC2D974C4440740DF27C068452C0E0E4DDBF864C44404A1084B4FF8352C003B44BE3754C4440A500FFB7F88352C06CF6638C654C44405FBB6A87F38352C0A84F0634574C44409B33C937E08352C0A9FD7D0F264C4440979AA7E2D98352C094C8C27F154C4440829F713BD98352C0E02B72CA134C44403DFC89E6D28352C061BA363B034C4440,3902,7400,5,5007400,Grasmere-Arrochar-Ft. Wadsworth,SI14,1400000US36085007400,I,Staten Island,9902.94847281,5788237.79601,74,2,3.7192516476907e-06
3,0106000020E6100000010000000103000000010000001000000046470782B77D52C0C073291CD160444013252B0FBF7D52C0C52A939ABC604440631DF481C67D52C042D0F518A860444064256EF7CD7D52C07B2E459F93604440F1707983D57D52C031E0C5117F6044401950E2BCDB7D52C05D3FFCC76D60444033719608DD7D52C0662CD4476A6044400A4F75BC037E52C0105B13488B604440F505896B287E52C0A1EAC22CAA6044401FD52BEB207E52C097CB64DEBE604440BF9D9F9F197E52C098D8D873D3604440AFECDBFF117E52C0F71A70DDE76044403B309B8D0A7E52C049D1524CFC60444061136108037E52C07790DFF510614440119F8A71DE7D52C03D78ABDAF160444046470782B77D52C0C073291CD1604440,3808,9800,1,1009800,Turtle Bay-East Midtown,MN19,1400000US36061009800,I,Manhattan,5534.19981063,1906016.35002,98,2,1.12945219948454e-05
4,0106000020E6100000010000000103000000010000001600000015D17B1CF47D52C0442443DB396144409AE4AE92FB7D52C0D9B11D472561444061136108037E52C07790DFF5106144403B309B8D0A7E52C049D1524CFC604440AFECDBFF117E52C0F71A70DDE7604440BF9D9F9F197E52C098D8D873D36044401FD52BEB207E52C097CB64DEBE604440F505896B287E52C0A1EAC22CAA6044408AAB73AD427E52C0045BC15DC0604440BE214A55507E52C0F16941EFCB604440034566635B7E52C0B8B37A4ED56044404748FC335D7E52C073AB48D6D66044409ACBE4B7557E52C0FA152D44EB604440950C6E384E7E52C0C3D0F1DDFF604440720E2FC1467E52C038EA7F481461444026C665493F7E52C02AD5FCDA28614440A6349CCD377E52C0095C213C3D614440805BCE44307E52C0ADD4DFEC5161444051B472D7287E52C0FAD9535D6661444048392714277E52C043B117DF64614440D47405560E7E52C08BDA4FEB4F61444015D17B1CF47D52C0442443DB39614440,3808,10000,1,1010000,Turtle Bay-East Midtown,MN19,1400000US36061010000,I,Manhattan,5692.16873705,1860938.37721,100,3,1.73521939209646e-05
5,0106000020E6100000010000000103000000010000001500000051B472D7287E52C0FAD9535D66614440805BCE44307E52C0ADD4DFEC51614440A6349CCD377E52C0095C213C3D61444026C665493F7E52C02AD5FCDA28614440720E2FC1467E52C038EA7F4814614440950C6E384E7E52C0C3D0F1DDFF6044409ACBE4B7557E52C0FA152D44EB6044404748FC335D7E52C073AB48D6D66044406DA761D75E7E52C0609C5C2CD8604440B7FF3687777E52C0FD84E5FAEC6044403E7B8DE5917E52C02933D53D036144402F35FB728A7E52C0A5AD60C5176144406D031AFC827E52C07D83644F2C614440628D9A837B7E52C0B8CC33B14061444050CE2C00747E52C0F0CBE16455614440757B6B856C7E52C0CFEA73C169614440CF06E300657E52C0DCA927507E614440BF9E2C825D7E52C067DADBD192614440923C2737437E52C06B5C4B947C61444081D8E7652A7E52C0805C40B46761444051B472D7287E52C0FAD9535D66614440,3807,10200,1,1010200,Midtown-Midtown South,MN17,1400000US36061010200,I,Manhattan,5687.80243866,1860992.70485,102,2,1.15677874203176e-05
6,0106000020E61000000100000001030000000100000012000000BF9E2C825D7E52C067DADBD192614440CF06E300657E52C0DCA927507E614440757B6B856C7E52C0CFEA73C16961444050CE2C00747E52C0F0CBE16455614440628D9A837B7E52C0B8CC33B1406144406D031AFC827E52C07D83644F2C6144402F35FB728A7E52C0A5AD60C5176144403E7B8DE5917E52C02933D53D03614440AF1E5E7DA67E52C08031D1721461444005DF01D5C67E52C0C83B03C82F614440879CF64CBF7E52C07ABF825F44614440C5EFFBDBB77E52C0F91B98DF58614440A3FC1858B07E52C09445EA506D6144400A9CFFDFA87E52C04923F4B381614440D4630069A17E52C009ADCA31966144408C24A6D5997E52C03C195AC5AA614440354F5368927E52C006618C19BF614440BF9E2C825D7E52C067DADBD192614440,3807,10400,1,1010400,Midtown-Midtown South,MN17,1400000US36061010400,I,Manhattan,5693.03636727,1864600.41684,104,2,1.15454137860207e-05
7,0106000020E61000000100000001030000000100000010000000DD442BC8FB7E52C053A316AA9E604440FE33489E037F52C05172BBDE8860444086AF78F40A7F52C0B8405C7674604440D6940F3D127F52C0624F122E60604440546E7ABF197F52C0C90BC6EA4B60444013BB9F17307F52C0792867C75E604440AC356247487F52C06B24E23C73604440E71B0EE9767F52C08DB6893B9A60444046E640736F7F52C0FDC003A6AE604440D8848C0F687F52C03EA69EFBC2604440506B7CAF607F52C064A1BB34D76044409242BCBB587F52C0FB84E803ED604440215E0F3F427F52C07D781312DA60444070B20A2B2A7F52C03368D1C8C56044403052C83F217F52C0DAEB4751BE604440DD442BC8FB7E52C053A316AA9E604440,3807,11300,1,1011300,Midtown-Midtown South,MN17,1400000US36061011300,I,Manhattan,5699.8606412,1890907.29102,113,3,1.70771419835949e-05
8,0106000020E6100000010000000103000000010000000F0000007DACA38DBE7D52C06740419FCC614440BBAFEB0DC67D52C01AF4671EB86144406470DC87CD7D52C0A7DE6694A361444099075308D57D52C0BFF05E178F614440F4058E80DC7D52C00C4545807A614440366518C6F67D52C047DD02A6906144407B564E5E0F7E52C050098597A561444048233B35117E52C047366526A7614440BF5E33A2097E52C0700FAAEBBB614440A65B6B45027E52C00BD09E06D061444072FE8AC7FA7D52C02D541692E4614440C74EC64AF37D52C02DABAC0DF9614440AB234B6CF17D52C08F8C6073F76144403AFB8CD4D87D52C0E9B34FBBE26144407DACA38DBE7D52C06740419FCC614440,3805,11402,1,1011402,Upper East Side-Carnegie Hill,MN40,1400000US36061011402,I,Manhattan,4125.25602932,1063547.4139,114.02,2,2.02412738410794e-05
10,0106000020E6100000010000000103000000010000001500000016AA79D21D7D52C084B7D33F85634440A467A664257D52C0E14D266D70634440813995F62C7D52C084FB69B55B634440C3D96497347D52C087AFEFE24663444006FF8A2B3C7D52C029E99718326344404582794E447D52C0837039B91B6344407CE0627E4C7D52C004E249520563444045B13E0E547D52C005DD3587F0624440D4844A4B6E7D52C05406EAB906634440AA3F570D877D52C0827501911B63444057E9D7D1887D52C068B7980C1D6344406BFBBB29817D52C087AF6ABC31634440DE4F4501797D52C04CACC03148634440E1BD8FD3707D52C0689B0E755E634440B293DF3A697D52C0DE30095573634440566F18BB617D52C04E0A7026886344409BEDB7255A7D52C0FBC360ED9C634440F2C3A690527D52C0C54A4BB9B1634440EA8D3ACC507D52C0521F2036B0634440CD5FD80E387D52C0CE45D2679B63444016AA79D21D7D52C084B7D33F85634440,3805,14000,1,1014000,Upper East Side-Carnegie Hill,MN40,1400000US36061014000,I,Manhattan,5820.81564028,1925984.22252,140,3,1.67661431916214e-05
11,0106000020E610000001000000010300000001000000090000003231C589C27C52C0C2451FAA70634440FFFE03B6CA7C52C0A7C73D655A634440E867D858D27C52C0A1C5BCA74563444098F1191BF97C52C04856465D6663444016AA79D21D7D52C084B7D33F856344408596AE3C167D52C06AEE390C9A634440447BA8110E7D52C0092E6271B06344402EBBE158E97C52C0D9B79E62916344403231C589C27C52C0C2451FAA70634440,3805,14601,1,1014601,Yorkville,MN32,1400000US36061014601,I,Manhattan,4016.1331432,799879.808768,146.01,1,1.34566904527477e-05
12,0106000020E6100000010000000103000000010000000B000000C7DAA380AB7C52C069A826EEAF63444045923BF5B27C52C0B6BE207D9B634440EB1BF174BA7C52C01067B5DD866344403231C589C27C52C0C2451FAA706344402EBBE158E97C52C0D9B79E6291634440447BA8110E7D52C0092E6271B0634440F280D303067D52C0E0C9998BC6634440CD60F980FE7C52C08515A226DB634440B8D0DBF9F67C52C0D1B025B7EF6344409F75564FD27C52C06BBD23D0D0634440C7DAA380AB7C52C069A826EEAF634440,3805,14602,1,1014602,Yorkville,MN32,1400000US36061014602,I,Manhattan,4528.6954112,1175338.57889,146.02,3,2.74739927758675e-05
